,arrest,beat,block,case_number,community_area,date,description,district,domestic,fbi_code,id,iucr,latitude,location,location_description,longitude,primary_type,updated_on,ward,x_coordinate,y_coordinate,year,c_tract
13,False,0732,070XX S EMERALD AVE,JA387804,68,2017-08-12T04:39:00.000,FIRST DEGREE MURDER,007,False,01A,23508,0110,41.766322398,"{'type': 'Point', 'coordinates': [-87.643197431, 41.766322398]}",YARD,-87.643197431,HOMICIDE,2017-08-19T15:50:07.000,6,1172523,1858194,2017,6812001007
14,False,0735,070XX S PAULINA ST,JA398544,67,2017-08-20T02:19:00.000,FIRST DEGREE MURDER,007,False,01A,23530,0110,41.766247427,"{'type': 'Point', 'coordinates': [-87.666280449, 41.766247427]}",STREET,-87.666280449,HOMICIDE,2017-08-27T15:48:51.000,17,1166226,1858117,2017,6715003029
15,True,0713,062XX S LAFLIN ST,JA146443,67,2017-02-08T14:30:00.000,DOMESTIC BATTERY SIMPLE,007,True,08B,10843429,0486,41.780631714,"{'type': 'Point', 'coordinates': [-87.661816029, 41.780631714]}",STREET,-87.661816029,BATTERY,2017-08-25T15:48:04.000,16,1167403,1863368,2017,6708002018
16,False,0724,063XX S CARPENTER ST,JA397956,68,2017-08-19T16:32:00.000,FIRST DEGREE MURDER,007,False,01A,23529,0110,41.779038468,"{'type': 'Point', 'coordinates': [-87.65084103, 41.779038468]}",AUTO,-87.65084103,HOMICIDE,2017-08-26T15:52:47.000,16,1170401,1862811,2017,6810004017
17,True,0722,004XX W 66TH ST,JA100015,68,2017-01-01T00:00:00.000,DOMESTIC BATTERY SIMPLE,007,True,08B,10801104,0486,41.774405884,"{'type': 'Point', 'coordinates': [-87.635727351, 41.774405884]}",APARTMENT,-87.635727351,BATTERY,2017-02-14T15:49:42.000,20,1174537,1861156,2017,6809003009
18,True,0611,075XX S DAMEN AVE,JA100089,67,2017-01-01T01:10:00.000,PAROLE VIOLATION,006,False,26,10801149,4625,41.757026093,"{'type': 'Point', 'coordinates': [-87.673324912, 41.757026093]}",STREET,-87.673324912,OTHER OFFENSE,2017-02-14T15:49:42.000,18,1164330,1854742,2017,7104005000
19,False,0713,062XX S RACINE AVE,JA100090,67,2017-01-01T01:37:00.000,TO PROPERTY,007,False,14,10801151,1310,41.78006188,"{'type': 'Point', 'coordinates': [-87.65451122, 41.78006188]}",RESTAURANT,-87.65451122,CRIMINAL DAMAGE,2017-02-14T15:49:42.000,16,1169397,1863176,2017,6806002032
20,False,0712,056XX S ABERDEEN ST,JA100048,68,2017-01-01T00:57:00.000,DOMESTIC BATTERY SIMPLE,007,True,08B,10801152,0486,41.791556052,"{'type': 'Point', 'coordinates': [-87.65237676, 41.791556052]}",RESIDENCE,-87.65237676,BATTERY,2017-02-14T15:49:42.000,16,1169946,1867369,2017,6805002011
21,False,0715,057XX S WOOD ST,JA100139,67,2017-01-01T02:46:00.000,SIMPLE,007,False,08B,10801233,0460,41.789709573,"{'type': 'Point', 'coordinates': [-87.6693265, 41.789709573]}",RESIDENCE,-87.6693265,BATTERY,2017-02-14T15:49:42.000,15,1165329,1866660,2017,6703002019
22,False,0735,072XX S WOOD ST,JA100221,67,2017-01-01T04:10:00.000,TO PROPERTY,007,False,14,10801242,1310,41.762564332,"{'type': 'Point', 'coordinates': [-87.668605795, 41.762564332]}",RESIDENCE,-87.668605795,CRIMINAL DAMAGE,2017-02-14T15:49:42.000,17,1165602,1856770,2017,6720002013
23,False,0311,002XX W 63RD ST,JA100208,68,2017-01-01T03:45:00.000,AGGRAVATED: HANDGUN,003,False,04B,10801270,041A,41.779984558,"{'type': 'Point', 'coordinates': [-87.630247996, 41.779984558]}",STREET,-87.630247996,BATTERY,2017-02-14T15:49:42.000,20,1176015,1863201,2017,6809002000
24,False,0735,020XX W 71ST ST,JA100383,67,2017-01-01T09:30:00.000,AGGRAVATED:KNIFE/CUTTING INSTR,007,True,04B,10801487,0420,41.764794125,"{'type': 'Point', 'coordinates': [-87.675048735, 41.764794125]}",RESIDENCE,-87.675048735,BATTERY,2017-02-14T15:49:42.000,17,1163838,1857569,2017,6720004000
25,False,0733,071XX S HALSTED ST,JA100417,68,2017-01-01T10:20:00.000,ARMED: HANDGUN,007,False,03,10801490,031A,41.764748911,"{'type': 'Point', 'coordinates': [-87.644401916, 41.764748911]}",GAS STATION,-87.644401916,ROBBERY,2017-02-14T15:49:42.000,6,1172199,1857618,2017,6814001000
